Sl No,Watch Model Name,Sales Date,Quantity Sold,Online Sales (INR),Offline Sales (INR),Rafting
1,Boat Wave Lite,2024-07-12,61,102132.11,139358.17,3.97
2,Boat Wave Lite,2024-07-13,96,276876.83,121314.59,1.35
3,Boat Wave Lite,2024-07-14,22,201749.34,75479.54,2.85
4,Boat Wave Lite,2024-07-15,98,134724.58,62153.67,1.67
5,Boat Wave Lite,2024-07-16,157,229179.81,69674.38,4.44
6,Boat Wave Lite,2024-07-17,77,83141.52,128496.57,2.92
7,Boat Wave Lite,2024-07-18,118,110568.67,89753.27,3.22
8,Boat Wave Lite,2024-07-19,62,223665.48,97910.79,2.69
9,Boat Wave Lite,2024-07-20,28,97868.77,32753.45,2.81
10,Boat Wave Lite,2024-07-21,196,241115.41,117479.5,3.16
11,Boat Wave Lite,2024-07-22,189,152362.42,40518.49,1.46
12,Boat Wave Lite,2024-07-23,147,163998.0,143899.94,2.26
13,Boat Wave Lite,2024-07-24,31,65322.96,114284.01,1.81
14,Boat Wave Lite,2024-07-25,189,125659.53,104693.78,1.7
15,Boat Wave Lite,2024-07-26,137,295596.43,94847.37,4.77
16,Boat Wave Lite,2024-07-27,32,58388.42,147978.18,4.54
17,Boat Wave Lite,2024-07-28,49,275037.18,79039.02,3.97
18,Boat Wave Lite,2024-07-29,157,218182.45,57372.67,2.95
19,Boat Wave Lite,2024-07-30,31,295257.0,37382.3,1.7
20,Boat Wave Lite,2024-07-31,145,224885.57,100321.89,2.05
21,Boat Wave Lite,2024-08-01,13,155070.84,96529.56,4.18
22,Boat Wave Lite,2024-08-02,187,102319.1,111867.58,3.36
23,Boat Wave Lite,2024-08-03,125,107288.11,63972.93,1.42
24,Boat Wave Lite,2024-08-04,121,253394.68,129784.25,1.5
25,Boat Wave Lite,2024-08-05,47,104713.14,97836.24,1.6
26,Boat Wave Lite,2024-08-06,84,224387.22,77819.49,1.64
27,Boat Wave Lite,2024-08-07,170,274575.22,112890.55,2.45
28,Boat Wave Lite,2024-08-08,16,252647.55,140552.36,1.4
29,Boat Wave Lite,2024-08-09,12,207175.71,103403.02,3.68
30,Boat Wave Lite,2024-08-10,174,286327.34,47132.54,3.45
31,Boat Wave Lite,2024-08-11,179,287804.84,82773.48,3.51
32,Boat Wave Lite,2024-08-12,36,180300.6,145071.84,3.04
33,Boat Wave Lite,2024-08-13,154,163575.6,67546.94,4.44
34,Boat Wave Lite,2024-08-14,105,63290.19,123565.55,3.03
35,Boat Wave Lite,2024-08-15,193,83072.72,137738.09,1.83
36,Boat Wave Lite,2024-08-16,63,252639.39,67105.25,2.83
